,0,2000_NAs,2001_NAs,2002_NAs,2003_NAs,2004_NAs,2005_NAs,2006_NAs,2007_NAs,2008_NAs,2009_NAs,2010_NAs,2011_NAs,2012_NAs,2013_NAs,2014_NAs,2015_NAs,2016_NAs,2017_NAs,2018_NAs
62,G03_BL_F,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0
63,G03_BL_M,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0
64,G03_HI_F,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0
65,G03_HI_M,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0
66,G03_HP_F,53,51,53,53,51,53,51,53,51,39,2,2,1,4,1,4,0,53,0
67,G03_HP_M,53,51,53,53,51,53,51,53,51,40,1,2,0,3,1,3,0,53,0
68,G03_TR_F,53,51,53,53,51,53,51,53,51,39,0,2,0,2,0,2,0,53,0
69,G03_TR_M,53,51,53,53,51,53,51,53,51,39,0,2,0,2,0,2,0,53,0
70,G03_WH_F,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0
71,G03_WH_M,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0
72,G04_AM_F,53,51,53,53,51,53,51,53,51,2,0,3,0,2,0,2,0,53,0
73,G04_AM_M,53,51,53,53,51,53,51,53,51,2,0,2,0,3,0,2,0,53,0
74,G04_AS_F,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0
75,G04_AS_M,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0
76,G04_BL_F,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0
77,G04_BL_M,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0
78,G04_HI_F,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0
79,G04_HI_M,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0
80,G04_HP_F,53,51,53,53,51,53,51,53,51,41,1,2,0,3,2,3,0,53,0
81,G04_HP_M,53,51,53,53,51,53,51,53,51,39,3,2,1,3,1,3,0,53,0
82,G04_TR_F,53,51,53,53,51,53,51,53,51,39,0,2,0,2,0,2,0,53,0
83,G04_TR_M,53,51,53,53,51,53,51,53,51,39,0,2,0,2,0,2,0,53,0
84,G04_WH_F,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0
85,G04_WH_M,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0
86,G05_AM_F,53,51,53,53,51,53,51,53,51,2,0,2,1,2,0,2,0,53,0
87,G05_AM_M,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,1,53,0
